Date,IHSG,USD_IDR,Gold,SP500
2010-08-20,3117.5986328125,8928.599609375,1227.199951171875,1071.68994140625
2010-08-23,3128.612060546875,8997.900390625,1226.9000244140625,1067.3599853515625
2010-08-24,3114.817626953125,8867.0,1231.800048828125,1051.8699951171875
2010-08-25,3138.78759765625,8977.4501953125,1239.5,1055.3299560546875
2010-08-26,3145.0126953125,8878.0,1235.4000244140625,1047.219970703125
2010-08-27,3104.6123046875,8987.4501953125,1236.0,1064.5899658203125
2010-08-30,3099.4443359375,9014.9501953125,1237.0999755859375,1048.9200439453125
2010-08-31,3081.763916015625,8918.0,1248.300048828125,1049.3299560546875
2010-09-01,3135.19384765625,9014.2001953125,1246.300048828125,1080.2900390625
2010-09-02,3122.027587890625,9004.900390625,1251.5,1090.0999755859375
2010-09-03,3164.154052734375,8991.0,1249.199951171875,1104.510009765625
2010-09-06,3217.022705078125,8982.2998046875,1249.199951171875,1104.510009765625
2010-09-07,3230.76220703125,8999.2001953125,1257.300048828125,1091.8399658203125
2010-09-08,3230.76220703125,9032.0,1255.5999755859375,1098.8699951171875
2010-09-09,3230.76220703125,9005.900390625,1248.9000244140625,1104.1800537109375
2010-09-10,3230.76220703125,9032.900390625,1244.5,1109.550048828125
2010-09-13,3230.76220703125,9016.900390625,1245.0999755859375,1121.9000244140625
2010-09-14,3230.76220703125,8997.7001953125,1269.699951171875,1121.0999755859375
2010-09-15,3356.9013671875,8987.2998046875,1266.699951171875,1125.0699462890625
2010-09-16,3341.502197265625,8974.599609375,1271.9000244140625,1124.6600341796875
2010-09-17,3384.521484375,8931.0,1275.5999755859375,1125.5899658203125
2010-09-20,3370.850830078125,8970.7001953125,1279.0,1142.7099609375
2010-09-21,3364.90625,8982.400390625,1272.4000244140625,1139.780029296875
2010-09-22,3343.212646484375,8875.2998046875,1290.199951171875,1134.280029296875
2010-09-23,3337.067138671875,8918.400390625,1294.300048828125,1124.8299560546875
2010-09-24,3397.49365234375,8965.599609375,1296.0,1148.6700439453125
2010-09-27,3467.90087890625,8859.400390625,1296.699951171875,1142.1600341796875
2010-09-28,3472.572021484375,8971.400390625,1306.5999755859375,1147.699951171875
2010-09-29,3495.328125,8952.2001953125,1308.5,1144.72998046875
2010-09-30,3501.159912109375,8931.7998046875,1307.800048828125,1141.199951171875
2010-10-01,3546.97705078125,8934.7001953125,1316.0999755859375,1146.239990234375
2010-10-04,3569.359130859375,8920.099609375,1315.4000244140625,1137.030029296875
2010-10-05,3591.55517578125,8933.0,1338.9000244140625,1160.75
2010-10-06,3603.263916015625,8829.7001953125,1346.4000244140625,1159.969970703125
2010-10-07,3586.04638671875,8871.5,1333.9000244140625,1158.06005859375
2010-10-08,3546.816162109375,8912.900390625,1344.199951171875,1165.1500244140625
2010-10-11,3548.60791015625,8887.0,1353.300048828125,1165.3199462890625
2010-10-12,3547.110107421875,8995.2998046875,1345.699951171875,1169.77001953125
2010-10-13,3611.83837890625,8910.2998046875,1369.5,1178.0999755859375
2010-10-14,3618.337158203125,8878.099609375,1376.699951171875,1173.81005859375
2010-10-15,3596.89111328125,8904.2001953125,1371.0999755859375,1176.18994140625
2010-10-18,3566.779052734375,8949.0,1371.199951171875,1184.7099609375
2010-10-19,3592.648193359375,8948.7998046875,1335.0999755859375,1165.9000244140625
2010-10-20,3578.81494140625,8965.400390625,1343.300048828125,1178.1700439453125
2010-10-21,3587.870361328125,8820.0,1324.699951171875,1180.260009765625
2010-10-22,3597.605224609375,8849.5,1324.4000244140625,1183.0799560546875
2010-10-25,3643.34912109375,8908.2998046875,1338.300048828125,1185.6199951171875
2010-10-26,3653.9599609375,8933.599609375,1338.0,1185.6400146484375
2010-10-27,3624.325927734375,8913.7001953125,1322.199951171875,1182.449951171875
2010-10-28,3638.68408203125,8923.7998046875,1342.0999755859375,1183.780029296875
2010-10-29,3635.182373046875,8923.7998046875,1357.0999755859375,1183.260009765625
2010-11-01,3645.005126953125,888.1099853515625,1350.199951171875,1184.3800048828125
2010-11-02,3625.346923828125,8906.7001953125,1356.4000244140625,1193.5699462890625
2010-11-03,3605.532958984375,8827.900390625,1337.0999755859375,1197.9599609375
2010-11-04,3628.90478515625,8772.599609375,1382.699951171875,1221.06005859375
2010-11-05,3655.16259765625,8909.9501953125,1397.300048828125,1225.8499755859375
2010-11-08,3699.118896484375,8900.0,1402.800048828125,1223.25
2010-11-09,3737.338623046875,8904.4501953125,1409.800048828125,1213.4000244140625
2010-11-10,3756.82080078125,8805.0,1399.0999755859375,1218.7099609375
2010-11-11,3744.47216796875,8779.599609375,1403.0999755859375,1213.5400390625
2010-11-12,3665.703125,8798.0,1365.4000244140625,1199.2099609375
2010-11-15,3656.319580078125,8924.4501953125,1368.4000244140625,1197.75
2010-11-16,3673.884033203125,8967.4501953125,1338.300048828125,1178.3399658203125
2010-11-17,3673.884033203125,8856.0,1336.800048828125,1178.5899658203125
2010-11-18,3677.760986328125,8846.0,1352.9000244140625,1196.68994140625
2010-11-19,3724.903076171875,8843.0,1352.199951171875,1199.72998046875
2010-11-22,3741.083251953125,8748.2001953125,1357.699951171875,1197.8399658203125
2010-11-23,3678.051025390625,8929.4501953125,1377.5,1180.72998046875
2010-11-24,3658.634765625,8966.2998046875,1372.9000244140625,1198.3499755859375
2010-11-25,3701.868896484375,8962.4501953125,1372.9000244140625,1198.3499755859375
2010-11-26,3642.358154296875,8967.4501953125,1362.300048828125,1189.4000244140625
2010-11-29,3630.494873046875,9000.0,1366.0,1187.760009765625
2010-11-30,3531.073486328125,9015.4501953125,1385.0,1180.550048828125
2010-12-01,3618.953125,9033.9501953125,1387.300048828125,1206.0699462890625
2010-12-02,3694.43603515625,9018.4501953125,1388.5,1221.530029296875
2010-12-03,3696.115966796875,8916.0,1405.4000244140625,1224.7099609375
2010-12-06,3722.2021484375,9017.4501953125,1415.300048828125,1223.1199951171875
2010-12-07,3722.2021484375,9009.9501953125,1408.300048828125,1223.75
2010-12-08,3769.845947265625,8990.0,1382.5,1228.280029296875
2010-12-09,3785.949462890625,9020.0,1392.0999755859375,1233.0
2010-12-10,3747.568359375,9018.0,1384.300048828125,1240.4000244140625
2010-12-13,3692.088134765625,9021.9501953125,1397.300048828125,1240.4599609375
2010-12-14,3689.5224609375,9015.0,1403.5999755859375,1241.5899658203125
2010-12-15,3658.171630859375,9009.4501953125,1385.5,1235.22998046875
