Date,Actual_IHSG,Hybrid_Multivariate,Hybrid_Univariate,Single_LSTM,Error_Hybrid_Multi,Error_Hybrid_Uni
2024-01-30,7192.2158203125,6993.7643966674805,7054.023719787598,7184.35417041248,198.45142364501953,138.19210052490234
2024-01-31,7207.94091796875,6992.147506713867,7051.0167236328125,7171.795953330118,215.7934112548828,156.9241943359375
2024-02-01,7201.69580078125,6990.981834411621,7048.682838439941,7162.188506940147,210.7139663696289,153.0129623413086
2024-02-02,7238.78515625,6990.205368041992,7046.952079772949,7159.820227889606,248.5797882080078,191.83307647705078
2024-02-05,7198.615234375,6989.871929168701,7046.152603149414,7161.978734270102,208.74330520629883,152.46263122558594
2024-02-06,7247.408203125,6989.852039337158,7045.735313415527,7171.310898373791,257.5561637878418,201.67288970947266
2024-02-07,7235.15185546875,6990.025196075439,7045.985298156738,7178.507496287508,245.12665939331055,189.16655731201172
2024-02-08,7255.990885416667,6990.570007324219,7046.77970123291,7189.784610152696,265.4208780924482,209.2111841837568
2024-02-09,7276.829915364583,6991.32190322876,7048.103706359863,7199.629026345807,285.50801213582326,228.72620900471975
2024-02-12,7297.6689453125,6992.414451599121,7050.093818664551,7213.8039356180525,305.2544937133789,247.57512664794922
2024-02-13,7209.7412109375,6993.887435913086,7052.82177734375,7228.189327050772,215.85377502441406,156.91943359375
2024-02-14,7256.510986328125,6995.154312133789,7054.951499938965,7245.749688151307,261.35667419433594,201.55948638916016
2024-02-15,7303.28076171875,6995.933311462402,7056.664138793945,7252.895675747786,307.34745025634766,246.6166229248047
2024-02-16,7335.544921875,6996.958396911621,7058.820175170898,7254.463886091718,338.5865249633789,276.72474670410156
2024-02-19,7296.7021484375,6998.505081176758,7061.849990844727,7263.996599489881,298.1970672607422,234.85215759277344
2024-02-20,7352.60107421875,7000.250282287598,7065.056076049805,7271.812582547733,352.35079193115234,287.5449981689453
2024-02-21,7349.02099609375,7002.086143493652,7068.738342285156,7278.58443219155,346.93485260009766,280.28265380859375
2024-02-22,7339.63623046875,7004.224250793457,7072.832824707031,7288.488209083851,335.41197967529297,266.80340576171875
2024-02-23,7295.09521484375,7006.323554992676,7076.895324707031,7296.957396329599,288.7716598510742,218.19989013671875
2024-02-26,7283.8232421875,7007.980026245117,7080.131042480469,7305.3707703283,275.8432159423828,203.69219970703125
2024-02-27,7285.31689453125,7008.9382247924805,7082.249069213867,7311.642429219981,276.37866973876953,203.0678253173828
2024-02-28,7328.63623046875,7009.369941711426,7083.438537597656,7313.082221796343,319.2662887573242,245.19769287109375
2024-02-29,7316.11083984375,7009.703186035156,7084.489166259766,7309.22968876925,306.40765380859375,231.62167358398438
2024-03-01,7311.9072265625,7010.140365600586,7085.4879150390625,7306.627277877284,301.76686096191406,226.4193115234375
